draw,date,ad_date,numbers,price,lottery_type
105000273,105/11/14,2016-11-14,"02,16,19,25,29",8000000,daily_cash
105000274,105/11/15,2016-11-15,"13,19,28,32,37",8000000,daily_cash
105000275,105/11/16,2016-11-16,"05,12,23,29,33",8000000,daily_cash
105000276,105/11/17,2016-11-17,"06,16,23,25,26",8000000,daily_cash
105000277,105/11/18,2016-11-18,"01,13,20,24,33",8000000,daily_cash
105000278,105/11/19,2016-11-19,"05,12,16,20,37",8000000,daily_cash
105000279,105/11/21,2016-11-21,"08,16,17,22,30",8000000,daily_cash
105000280,105/11/22,2016-11-22,"04,05,20,25,34",8000000,daily_cash
105000281,105/11/23,2016-11-23,"02,08,16,20,29",8000000,daily_cash
105000282,105/11/24,2016-11-24,"10,16,20,25,38",8000000,daily_cash
105000283,105/11/25,2016-11-25,"07,12,17,22,31",8000000,daily_cash
105000284,105/11/26,2016-11-26,"01,12,24,34,37",8000000,daily_cash
105000285,105/11/28,2016-11-28,"08,09,18,19,36",8000000,daily_cash
105000286,105/11/29,2016-11-29,"05,12,17,19,34",8000000,daily_cash
105000287,105/11/30,2016-11-30,"04,14,22,25,33",8000000,daily_cash
105000288,105/12/01,2016-12-01,"01,04,07,14,30",8000000,daily_cash
105000289,105/12/02,2016-12-02,"16,17,32,33,36",8000000,daily_cash
105000290,105/12/03,2016-12-03,"07,09,16,20,22",8000000,daily_cash
105000291,105/12/05,2016-12-05,"07,08,13,21,39",8000000,daily_cash
105000292,105/12/06,2016-12-06,"06,12,21,24,32",8000000,daily_cash
105000293,105/12/07,2016-12-07,"07,12,17,18,31",8000000,daily_cash
105000294,105/12/08,2016-12-08,"01,07,09,13,16",8000000,daily_cash
105000295,105/12/09,2016-12-09,"05,22,24,32,33",8000000,daily_cash
105000296,105/12/10,2016-12-10,"01,08,26,37,38",8000000,daily_cash
105000297,105/12/12,2016-12-12,"02,08,18,22,39",8000000,daily_cash
105000298,105/12/13,2016-12-13,"02,06,17,20,38",8000000,daily_cash
105000299,105/12/14,2016-12-14,"08,15,34,36,37",8000000,daily_cash
105000300,105/12/15,2016-12-15,"17,19,20,25,35",8000000,daily_cash
105000301,105/12/16,2016-12-16,"02,10,13,20,39",8000000,daily_cash
105000302,105/12/17,2016-12-17,"01,06,08,15,20",8000000,daily_cash
105000303,105/12/19,2016-12-19,"02,12,17,23,33",8000000,daily_cash
105000304,105/12/20,2016-12-20,"11,15,18,28,34",8000000,daily_cash
105000305,105/12/21,2016-12-21,"02,03,08,19,27",8000000,daily_cash
105000306,105/12/22,2016-12-22,"07,18,22,24,30",8000000,daily_cash
105000307,105/12/23,2016-12-23,"06,08,20,32,37",8000000,daily_cash
105000308,105/12/24,2016-12-24,"09,11,15,17,18",8000000,daily_cash
105000309,105/12/26,2016-12-26,"03,06,07,29,30",8000000,daily_cash
105000310,105/12/27,2016-12-27,"16,19,28,30,31",8000000,daily_cash
105000311,105/12/28,2016-12-28,"09,12,18,20,26",8000000,daily_cash
105000312,105/12/29,2016-12-29,"15,25,30,37,39",8000000,daily_cash
105000313,105/12/30,2016-12-30,"11,13,29,36,38",8000000,daily_cash
105000314,105/12/31,2016-12-31,"14,18,21,26,34",8000000,daily_cash
106000001,106/01/02,2017-01-02,"06,10,14,15,22",8000000,daily_cash
106000002,106/01/03,2017-01-03,"02,08,13,21,29",8000000,daily_cash
106000003,106/01/04,2017-01-04,"07,09,11,22,37",8000000,daily_cash
106000004,106/01/05,2017-01-05,"24,25,26,27,33",8000000,daily_cash
106000005,106/01/06,2017-01-06,"02,06,11,12,38",8000000,daily_cash
106000006,106/01/07,2017-01-07,"08,12,14,18,35",8000000,daily_cash
106000007,106/01/09,2017-01-09,"09,16,24,27,30",8000000,daily_cash
106000008,106/01/10,2017-01-10,"04,09,20,31,33",8000000,daily_cash
106000009,106/01/11,2017-01-11,"07,09,10,15,24",8000000,daily_cash
106000010,106/01/12,2017-01-12,"11,20,22,31,34",8000000,daily_cash
106000011,106/01/13,2017-01-13,"04,18,22,24,34",8000000,daily_cash
106000012,106/01/14,2017-01-14,"05,06,07,14,27",8000000,daily_cash
106000013,106/01/16,2017-01-16,"04,05,23,30,33",8000000,daily_cash
106000014,106/01/17,2017-01-17,"16,18,19,28,33",8000000,daily_cash
106000015,106/01/18,2017-01-18,"09,20,21,36,37",8000000,daily_cash
106000016,106/01/19,2017-01-19,"02,11,17,26,29",8000000,daily_cash
106000017,106/01/20,2017-01-20,"08,11,26,35,36",8000000,daily_cash
106000018,106/01/21,2017-01-21,"08,15,17,21,33",8000000,daily_cash
106000019,106/01/23,2017-01-23,"04,13,26,30,37",8000000,daily_cash
106000020,106/01/24,2017-01-24,"26,28,31,33,34",8000000,daily_cash
106000021,106/01/25,2017-01-25,"07,08,18,26,29",8000000,daily_cash
106000022,106/01/26,2017-01-26,"05,23,29,31,36",8000000,daily_cash
106000023,106/01/27,2017-01-27,"01,03,06,12,37",8000000,daily_cash
106000024,106/01/28,2017-01-28,"07,08,10,29,39",8000000,daily_cash
106000025,106/01/30,2017-01-30,"04,08,11,22,37",8000000,daily_cash
106000026,106/01/31,2017-01-31,"01,06,08,09,18",8000000,daily_cash
106000027,106/02/01,2017-02-01,"07,13,15,17,25",8000000,daily_cash
106000028,106/02/02,2017-02-02,"04,05,20,30,32",8000000,daily_cash
106000029,106/02/03,2017-02-03,"18,19,25,27,36",8000000,daily_cash
106000030,106/02/04,2017-02-04,"03,07,08,09,35",8000000,daily_cash
106000031,106/02/06,2017-02-06,"10,24,26,29,36",8000000,daily_cash
106000032,106/02/07,2017-02-07,"01,08,11,24,34",8000000,daily_cash
106000033,106/02/08,2017-02-08,"06,08,24,38,39",8000000,daily_cash
106000034,106/02/09,2017-02-09,"02,03,17,29,38",8000000,daily_cash
106000035,106/02/10,2017-02-10,"05,17,22,27,32",8000000,daily_cash
106000036,106/02/11,2017-02-11,"02,15,17,20,25",8000000,daily_cash
106000037,106/02/13,2017-02-13,"05,08,15,20,21",8000000,daily_cash
106000038,106/02/14,2017-02-14,"01,07,09,14,20",8000000,daily_cash
106000039,106/02/15,2017-02-15,"18,20,26,27,32",8000000,daily_cash
106000040,106/02/16,2017-02-16,"02,03,16,23,34",8000000,daily_cash
106000041,106/02/17,2017-02-17,"02,08,10,18,31",8000000,daily_cash
106000042,106/02/18,2017-02-18,"04,06,09,16,37",8000000,daily_cash
106000043,106/02/20,2017-02-20,"02,15,23,29,34",8000000,daily_cash
106000044,106/02/21,2017-02-21,"12,16,25,26,28",8000000,daily_cash
106000045,106/02/22,2017-02-22,"07,17,23,30,37",8000000,daily_cash
106000046,106/02/23,2017-02-23,"04,06,12,14,38",8000000,daily_cash
106000047,106/02/24,2017-02-24,"06,28,31,33,35",8000000,daily_cash
106000048,106/02/25,2017-02-25,"07,14,17,24,38",8000000,daily_cash
106000049,106/02/27,2017-02-27,"04,25,27,34,37",8000000,daily_cash
106000050,106/02/28,2017-02-28,"04,12,14,16,17",8000000,daily_cash
106000051,106/03/01,2017-03-01,"01,09,20,34,35",8000000,daily_cash
106000052,106/03/02,2017-03-02,"13,20,29,32,36",8000000,daily_cash
106000053,106/03/03,2017-03-03,"07,09,19,21,22",8000000,daily_cash
106000054,106/03/04,2017-03-04,"10,11,24,28,29",8000000,daily_cash
106000055,106/03/06,2017-03-06,"10,11,12,13,28",8000000,daily_cash
106000056,106/03/07,2017-03-07,"03,09,11,33,34",8000000,daily_cash
106000057,106/03/08,2017-03-08,"07,08,19,24,28",8000000,daily_cash
106000058,106/03/09,2017-03-09,"02,06,23,26,38",8000000,daily_cash
106000059,106/03/10,2017-03-10,"08,10,12,30,34",8000000,daily_cash
106000060,106/03/11,2017-03-11,"01,18,25,27,32",8000000,daily_cash
106000061,106/03/13,2017-03-13,"05,12,23,28,33",8000000,daily_cash
106000062,106/03/14,2017-03-14,"04,12,22,29,35",8000000,daily_cash
106000063,106/03/15,2017-03-15,"17,21,31,33,35",8000000,daily_cash
106000064,106/03/16,2017-03-16,"02,04,32,34,37",8000000,daily_cash
106000065,106/03/17,2017-03-17,"01,08,14,15,38",8000000,daily_cash
106000066,106/03/18,2017-03-18,"05,07,10,25,38",8000000,daily_cash
106000067,106/03/20,2017-03-20,"01,18,27,29,39",8000000,daily_cash
106000068,106/03/21,2017-03-21,"06,24,31,34,36",8000000,daily_cash
106000069,106/03/22,2017-03-22,"03,06,08,09,27",8000000,daily_cash
106000070,106/03/23,2017-03-23,"10,26,29,36,39",8000000,daily_cash
106000071,106/03/24,2017-03-24,"06,11,15,32,35",8000000,daily_cash
106000072,106/03/25,2017-03-25,"08,27,30,35,38",8000000,daily_cash
106000073,106/03/27,2017-03-27,"02,11,15,19,27",8000000,daily_cash
106000074,106/03/28,2017-03-28,"04,13,16,27,38",8000000,daily_cash
106000075,106/03/29,2017-03-29,"05,08,19,23,24",8000000,daily_cash
106000076,106/03/30,2017-03-30,"03,04,20,30,39",8000000,daily_cash
106000077,106/03/31,2017-03-31,"17,18,19,22,39",8000000,daily_cash
106000078,106/04/01,2017-04-01,"05,07,21,24,27",8000000,daily_cash
106000079,106/04/03,2017-04-03,"08,19,21,23,35",8000000,daily_cash
106000080,106/04/04,2017-04-04,"25,26,27,29,36",8000000,daily_cash
106000081,106/04/05,2017-04-05,"12,15,19,20,30",8000000,daily_cash
106000082,106/04/06,2017-04-06,"06,09,21,35,36",8000000,daily_cash
106000083,106/04/07,2017-04-07,"07,20,23,25,32",8000000,daily_cash
106000084,106/04/08,2017-04-08,"16,21,26,36,39",8000000,daily_cash
106000085,106/04/10,2017-04-10,"15,22,23,27,32",8000000,daily_cash
106000086,106/04/11,2017-04-11,"15,21,25,38,39",8000000,daily_cash
106000087,106/04/12,2017-04-12,"03,23,25,27,34",8000000,daily_cash
106000088,106/04/13,2017-04-13,"10,29,30,35,38",8000000,daily_cash
106000089,106/04/14,2017-04-14,"02,19,21,32,36",8000000,daily_cash
106000090,106/04/15,2017-04-15,"15,19,22,24,28",8000000,daily_cash
106000091,106/04/17,2017-04-17,"10,11,14,26,31",8000000,daily_cash
106000092,106/04/18,2017-04-18,"09,18,23,30,34",8000000,daily_cash
106000093,106/04/19,2017-04-19,"04,09,11,22,35",8000000,daily_cash
106000094,106/04/20,2017-04-20,"17,21,35,36,37",8000000,daily_cash
106000095,106/04/21,2017-04-21,"15,19,23,30,34",8000000,daily_cash
106000096,106/04/22,2017-04-22,"01,11,16,35,38",8000000,daily_cash
106000097,106/04/24,2017-04-24,"03,29,34,35,39",8000000,daily_cash
106000098,106/04/25,2017-04-25,"01,09,12,16,31",8000000,daily_cash
106000099,106/04/26,2017-04-26,"03,13,18,34,35",8000000,daily_cash
106000100,106/04/27,2017-04-27,"06,08,11,26,38",8000000,daily_cash
106000101,106/04/28,2017-04-28,"15,16,22,32,35",8000000,daily_cash
106000102,106/04/29,2017-04-29,"11,16,22,31,33",8000000,daily_cash
106000103,106/05/01,2017-05-01,"16,24,31,33,36",8000000,daily_cash
106000104,106/05/02,2017-05-02,"04,11,16,19,33",8000000,daily_cash
106000105,106/05/03,2017-05-03,"07,18,22,26,35",8000000,daily_cash
106000106,106/05/04,2017-05-04,"11,16,22,23,38",8000000,daily_cash
106000107,106/05/05,2017-05-05,"04,11,14,20,21",8000000,daily_cash
106000108,106/05/06,2017-05-06,"05,07,16,35,36",8000000,daily_cash
106000109,106/05/08,2017-05-08,"22,24,35,36,38",8000000,daily_cash
106000110,106/05/09,2017-05-09,"02,08,19,27,33",8000000,daily_cash
106000111,106/05/10,2017-05-10,"05,06,27,34,39",8000000,daily_cash
106000112,106/05/11,2017-05-11,"04,07,26,27,33",8000000,daily_cash
106000113,106/05/12,2017-05-12,"02,07,15,38,39",8000000,daily_cash
106000114,106/05/13,2017-05-13,"06,13,14,22,38",8000000,daily_cash
106000115,106/05/15,2017-05-15,"02,09,16,25,34",8000000,daily_cash
106000116,106/05/16,2017-05-16,"04,11,13,23,31",8000000,daily_cash
106000117,106/05/17,2017-05-17,"15,17,28,29,30",8000000,daily_cash
106000118,106/05/18,2017-05-18,"05,07,12,32,36",8000000,daily_cash
106000119,106/05/19,2017-05-19,"06,09,10,24,25",8000000,daily_cash
106000120,106/05/20,2017-05-20,"10,17,20,22,29",8000000,daily_cash
106000121,106/05/22,2017-05-22,"02,03,12,16,27",8000000,daily_cash
106000122,106/05/23,2017-05-23,"08,12,25,27,31",8000000,daily_cash
106000123,106/05/24,2017-05-24,"07,09,21,25,36",8000000,daily_cash
106000124,106/05/25,2017-05-25,"02,05,30,36,37",8000000,daily_cash
106000125,106/05/26,2017-05-26,"04,11,25,27,32",8000000,daily_cash
106000126,106/05/27,2017-05-27,"09,25,31,33,34",8000000,daily_cash
106000127,106/05/29,2017-05-29,"22,26,30,36,38",8000000,daily_cash
106000128,106/05/30,2017-05-30,"10,11,20,35,39",8000000,daily_cash
106000129,106/05/31,2017-05-31,"01,05,08,28,33",8000000,daily_cash
106000130,106/06/01,2017-06-01,"06,10,14,17,34",8000000,daily_cash
106000131,106/06/02,2017-06-02,"03,05,07,22,26",8000000,daily_cash
106000132,106/06/03,2017-06-03,"06,14,19,25,39",8000000,daily_cash
106000133,106/06/05,2017-06-05,"01,16,19,26,28",8000000,daily_cash
106000134,106/06/06,2017-06-06,"08,23,25,29,33",8000000,daily_cash
106000135,106/06/07,2017-06-07,"15,19,29,30,33",8000000,daily_cash
106000136,106/06/08,2017-06-08,"12,14,19,23,26",8000000,daily_cash
106000137,106/06/09,2017-06-09,"04,07,31,38,39",8000000,daily_cash
106000138,106/06/10,2017-06-10,"14,16,26,27,28",8000000,daily_cash
106000139,106/06/12,2017-06-12,"06,11,12,19,22",8000000,daily_cash
106000140,106/06/13,2017-06-13,"01,02,09,20,22",8000000,daily_cash
106000141,106/06/14,2017-06-14,"03,06,25,30,37",8000000,daily_cash
106000142,106/06/15,2017-06-15,"02,11,16,25,38",8000000,daily_cash
106000143,106/06/16,2017-06-16,"17,28,31,34,37",8000000,daily_cash
106000144,106/06/17,2017-06-17,"04,15,17,26,39",8000000,daily_cash
106000145,106/06/19,2017-06-19,"13,31,33,34,39",8000000,daily_cash
106000146,106/06/20,2017-06-20,"14,16,21,35,39",8000000,daily_cash
106000147,106/06/21,2017-06-21,"04,10,18,20,26",8000000,daily_cash
106000148,106/06/22,2017-06-22,"03,22,24,26,32",8000000,daily_cash
106000149,106/06/23,2017-06-23,"04,06,07,19,29",8000000,daily_cash
106000150,106/06/24,2017-06-24,"05,07,19,27,31",8000000,daily_cash
106000151,106/06/26,2017-06-26,"04,05,19,23,26",8000000,daily_cash
106000152,106/06/27,2017-06-27,"12,14,17,19,21",8000000,daily_cash
106000153,106/06/28,2017-06-28,"02,13,34,36,37",8000000,daily_cash
106000154,106/06/29,2017-06-29,"18,21,25,27,31",8000000,daily_cash
106000155,106/06/30,2017-06-30,"05,11,28,30,35",8000000,daily_cash
106000156,106/07/01,2017-07-01,"07,08,15,21,25",8000000,daily_cash
106000157,106/07/03,2017-07-03,"11,17,20,32,36",8000000,daily_cash
106000158,106/07/04,2017-07-04,"12,15,19,29,36",8000000,daily_cash
106000159,106/07/05,2017-07-05,"08,10,12,32,34",8000000,daily_cash
106000160,106/07/06,2017-07-06,"03,16,21,26,36",8000000,daily_cash
106000161,106/07/07,2017-07-07,"02,15,16,18,25",8000000,daily_cash
106000162,106/07/08,2017-07-08,"04,09,14,22,26",8000000,daily_cash
106000163,106/07/10,2017-07-10,"04,13,19,20,24",8000000,daily_cash
106000164,106/07/11,2017-07-11,"05,14,20,25,36",8000000,daily_cash
106000165,106/07/12,2017-07-12,"03,05,29,36,37",8000000,daily_cash
106000166,106/07/13,2017-07-13,"07,14,21,35,37",8000000,daily_cash
106000167,106/07/14,2017-07-14,"15,16,23,28,32",8000000,daily_cash
106000168,106/07/15,2017-07-15,"02,05,14,32,33",8000000,daily_cash
106000169,106/07/17,2017-07-17,"08,10,14,23,36",8000000,daily_cash
106000170,106/07/18,2017-07-18,"01,09,33,37,39",8000000,daily_cash
106000171,106/07/19,2017-07-19,"04,20,22,29,33",8000000,daily_cash
106000172,106/07/20,2017-07-20,"06,10,15,23,30",8000000,daily_cash
106000173,106/07/21,2017-07-21,"02,05,22,31,37",8000000,daily_cash
106000174,106/07/22,2017-07-22,"09,11,24,30,34",8000000,daily_cash
106000175,106/07/24,2017-07-24,"02,16,19,24,27",8000000,daily_cash
106000176,106/07/25,2017-07-25,"09,24,27,28,29",8000000,daily_cash
106000177,106/07/26,2017-07-26,"11,20,27,29,37",8000000,daily_cash
106000178,106/07/27,2017-07-27,"03,14,20,34,38",8000000,daily_cash
106000179,106/07/28,2017-07-28,"16,25,35,37,38",8000000,daily_cash
106000180,106/07/29,2017-07-29,"05,18,30,33,36",8000000,daily_cash
106000181,106/07/31,2017-07-31,"08,13,17,35,37",8000000,daily_cash
106000182,106/08/01,2017-08-01,"11,13,16,17,21",8000000,daily_cash
106000183,106/08/02,2017-08-02,"13,15,17,18,21",8000000,daily_cash
106000184,106/08/03,2017-08-03,"27,30,32,35,38",8000000,daily_cash
106000185,106/08/04,2017-08-04,"08,14,20,33,38",8000000,daily_cash
106000186,106/08/05,2017-08-05,"05,10,18,26,28",8000000,daily_cash
106000187,106/08/07,2017-08-07,"03,10,12,13,38",8000000,daily_cash
106000188,106/08/08,2017-08-08,"04,08,17,29,36",8000000,daily_cash
106000189,106/08/09,2017-08-09,"09,12,29,30,32",8000000,daily_cash
106000190,106/08/10,2017-08-10,"12,14,23,26,36",8000000,daily_cash
106000191,106/08/11,2017-08-11,"02,03,10,20,30",8000000,daily_cash
106000192,106/08/12,2017-08-12,"02,20,23,28,30",8000000,daily_cash
106000193,106/08/14,2017-08-14,"14,18,25,26,32",8000000,daily_cash
106000194,106/08/15,2017-08-15,"04,13,17,33,39",8000000,daily_cash
106000195,106/08/16,2017-08-16,"02,04,07,18,36",8000000,daily_cash
106000196,106/08/17,2017-08-17,"01,08,15,20,37",8000000,daily_cash
106000197,106/08/18,2017-08-18,"06,08,16,28,29",8000000,daily_cash
106000198,106/08/19,2017-08-19,"09,13,23,29,34",8000000,daily_cash
106000199,106/08/21,2017-08-21,"08,12,15,35,36",8000000,daily_cash
106000200,106/08/22,2017-08-22,"07,24,31,34,35",8000000,daily_cash
106000201,106/08/23,2017-08-23,"26,30,31,32,38",8000000,daily_cash
106000202,106/08/24,2017-08-24,"19,27,29,31,32",8000000,daily_cash
106000203,106/08/25,2017-08-25,"11,16,27,33,36",8000000,daily_cash
106000204,106/08/26,2017-08-26,"06,09,12,25,35",8000000,daily_cash
106000205,106/08/28,2017-08-28,"07,11,14,32,34",8000000,daily_cash
106000206,106/08/29,2017-08-29,"03,21,22,30,38",8000000,daily_cash
106000207,106/08/30,2017-08-30,"12,17,21,30,38",8000000,daily_cash
106000208,106/08/31,2017-08-31,"01,08,12,38,39",8000000,daily_cash
106000209,106/09/01,2017-09-01,"05,15,19,23,24",8000000,daily_cash
106000210,106/09/02,2017-09-02,"04,10,18,19,37",8000000,daily_cash
106000211,106/09/04,2017-09-04,"05,21,27,29,34",8000000,daily_cash
106000212,106/09/05,2017-09-05,"05,06,07,36,38",8000000,daily_cash
106000213,106/09/06,2017-09-06,"05,08,28,33,35",8000000,daily_cash
106000214,106/09/07,2017-09-07,"12,13,27,30,31",8000000,daily_cash
106000215,106/09/08,2017-09-08,"05,10,15,33,36",8000000,daily_cash
106000216,106/09/09,2017-09-09,"05,19,24,25,31",8000000,daily_cash
106000217,106/09/11,2017-09-11,"01,03,26,28,37",8000000,daily_cash
106000218,106/09/12,2017-09-12,"09,10,17,22,26",8000000,daily_cash
106000219,106/09/13,2017-09-13,"11,28,30,31,39",8000000,daily_cash
106000220,106/09/14,2017-09-14,"16,17,21,30,32",8000000,daily_cash
106000221,106/09/15,2017-09-15,"04,07,12,28,35",8000000,daily_cash
106000222,106/09/16,2017-09-16,"02,04,21,28,35",8000000,daily_cash
106000223,106/09/18,2017-09-18,"03,25,32,33,34",8000000,daily_cash
106000224,106/09/19,2017-09-19,"04,06,07,08,31",8000000,daily_cash
106000225,106/09/20,2017-09-20,"07,19,25,37,38",8000000,daily_cash
106000226,106/09/21,2017-09-21,"04,05,08,10,37",8000000,daily_cash
106000227,106/09/22,2017-09-22,"04,10,12,16,21",8000000,daily_cash
106000228,106/09/23,2017-09-23,"06,07,18,32,37",8000000,daily_cash
106000229,106/09/25,2017-09-25,"03,08,18,27,36",8000000,daily_cash
106000230,106/09/26,2017-09-26,"02,15,24,25,30",8000000,daily_cash
106000231,106/09/27,2017-09-27,"10,29,30,31,35",8000000,daily_cash
106000232,106/09/28,2017-09-28,"04,23,26,32,33",8000000,daily_cash
106000233,106/09/29,2017-09-29,"02,04,08,13,23",8000000,daily_cash
106000234,106/09/30,2017-09-30,"01,04,06,27,38",8000000,daily_cash
106000235,106/10/02,2017-10-02,"08,15,18,19,25",8000000,daily_cash
106000236,106/10/03,2017-10-03,"11,14,16,21,30",8000000,daily_cash
106000237,106/10/04,2017-10-04,"06,11,17,26,32",8000000,daily_cash
106000238,106/10/05,2017-10-05,"17,19,21,24,37",8000000,daily_cash
106000239,106/10/06,2017-10-06,"03,11,28,29,33",8000000,daily_cash
106000240,106/10/07,2017-10-07,"05,20,26,29,34",8000000,daily_cash
106000241,106/10/09,2017-10-09,"05,07,10,14,15",8000000,daily_cash
106000242,106/10/10,2017-10-10,"13,21,28,37,38",8000000,daily_cash
106000243,106/10/11,2017-10-11,"08,17,19,20,30",8000000,daily_cash
106000244,106/10/12,2017-10-12,"23,26,28,32,36",8000000,daily_cash
106000245,106/10/13,2017-10-13,"07,15,24,34,37",8000000,daily_cash
106000246,106/10/14,2017-10-14,"02,13,35,36,39",8000000,daily_cash
106000247,106/10/16,2017-10-16,"22,28,30,35,38",8000000,daily_cash
106000248,106/10/17,2017-10-17,"06,24,31,32,35",8000000,daily_cash
106000249,106/10/18,2017-10-18,"06,09,18,31,32",8000000,daily_cash
106000250,106/10/19,2017-10-19,"16,20,28,33,34",8000000,daily_cash
106000251,106/10/20,2017-10-20,"02,07,16,29,33",8000000,daily_cash
106000252,106/10/21,2017-10-21,"12,17,26,27,34",8000000,daily_cash
106000253,106/10/23,2017-10-23,"03,11,25,30,36",8000000,daily_cash
106000254,106/10/24,2017-10-24,"08,14,15,20,25",8000000,daily_cash
106000255,106/10/25,2017-10-25,"03,17,23,27,31",8000000,daily_cash
106000256,106/10/26,2017-10-26,"13,17,18,27,35",8000000,daily_cash
106000257,106/10/27,2017-10-27,"02,03,07,19,22",8000000,daily_cash
106000258,106/10/28,2017-10-28,"02,10,12,14,21",8000000,daily_cash
106000259,106/10/30,2017-10-30,"02,15,21,31,36",8000000,daily_cash
106000260,106/10/31,2017-10-31,"01,03,05,09,37",8000000,daily_cash
106000261,106/11/01,2017-11-01,"01,13,18,35,38",8000000,daily_cash
106000262,106/11/02,2017-11-02,"02,05,10,19,38",8000000,daily_cash
106000263,106/11/03,2017-11-03,"04,12,13,28,36",8000000,daily_cash
106000264,106/11/04,2017-11-04,"04,06,11,22,28",8000000,daily_cash
106000265,106/11/06,2017-11-06,"17,20,23,24,28",8000000,daily_cash
106000266,106/11/07,2017-11-07,"03,06,13,25,29",8000000,daily_cash
106000267,106/11/08,2017-11-08,"05,13,19,20,21",8000000,daily_cash
106000268,106/11/09,2017-11-09,"02,14,18,31,37",8000000,daily_cash
106000269,106/11/10,2017-11-10,"09,16,19,22,29",8000000,daily_cash
106000270,106/11/11,2017-11-11,"09,21,24,28,32",8000000,daily_cash
106000271,106/11/13,2017-11-13,"02,05,08,14,25",8000000,daily_cash
106000272,106/11/14,2017-11-14,"01,02,14,20,37",8000000,daily_cash
106000273,106/11/15,2017-11-15,"02,11,15,26,33",8000000,daily_cash
106000274,106/11/16,2017-11-16,"08,26,31,33,38",8000000,daily_cash
106000275,106/11/17,2017-11-17,"05,11,12,24,29",8000000,daily_cash
106000276,106/11/18,2017-11-18,"13,14,20,29,34",8000000,daily_cash
106000277,106/11/20,2017-11-20,"17,24,27,30,34",8000000,daily_cash
106000278,106/11/21,2017-11-21,"01,06,07,18,36",8000000,daily_cash
106000279,106/11/22,2017-11-22,"17,21,24,30,33",8000000,daily_cash
106000280,106/11/23,2017-11-23,"04,17,22,26,27",8000000,daily_cash
106000281,106/11/24,2017-11-24,"07,11,22,26,37",8000000,daily_cash
106000282,106/11/25,2017-11-25,"08,09,22,31,36",8000000,daily_cash
106000283,106/11/27,2017-11-27,"01,05,23,35,38",8000000,daily_cash
106000284,106/11/28,2017-11-28,"05,16,21,24,25",8000000,daily_cash
106000285,106/11/29,2017-11-29,"04,13,14,16,29",8000000,daily_cash
106000286,106/11/30,2017-11-30,"01,22,30,31,39",8000000,daily_cash
106000287,106/12/01,2017-12-01,"11,21,23,24,25",8000000,daily_cash
106000288,106/12/02,2017-12-02,"03,05,17,23,37",8000000,daily_cash
106000289,106/12/04,2017-12-04,"08,17,18,24,39",8000000,daily_cash
106000290,106/12/05,2017-12-05,"02,20,21,29,34",8000000,daily_cash
106000291,106/12/06,2017-12-06,"04,19,20,28,34",8000000,daily_cash
106000292,106/12/07,2017-12-07,"06,08,10,19,38",8000000,daily_cash
106000293,106/12/08,2017-12-08,"04,05,10,22,30",8000000,daily_cash
106000294,106/12/09,2017-12-09,"09,17,34,35,39",8000000,daily_cash
106000295,106/12/11,2017-12-11,"16,17,18,28,34",8000000,daily_cash
106000296,106/12/12,2017-12-12,"06,09,21,23,39",8000000,daily_cash
106000297,106/12/13,2017-12-13,"11,12,21,22,33",8000000,daily_cash
106000298,106/12/14,2017-12-14,"08,19,25,26,38",8000000,daily_cash
106000299,106/12/15,2017-12-15,"14,27,30,36,37",8000000,daily_cash
106000300,106/12/16,2017-12-16,"14,19,29,30,37",8000000,daily_cash
106000301,106/12/18,2017-12-18,"01,03,07,18,34",8000000,daily_cash
106000302,106/12/19,2017-12-19,"04,08,11,25,27",8000000,daily_cash
106000303,106/12/20,2017-12-20,"07,10,18,34,38",8000000,daily_cash
106000304,106/12/21,2017-12-21,"03,18,24,28,32",8000000,daily_cash
106000305,106/12/22,2017-12-22,"01,06,14,29,34",8000000,daily_cash
106000306,106/12/23,2017-12-23,"15,19,21,24,30",8000000,daily_cash
106000307,106/12/25,2017-12-25,"05,11,21,33,38",8000000,daily_cash
106000308,106/12/26,2017-12-26,"07,11,17,18,35",8000000,daily_cash
106000309,106/12/27,2017-12-27,"03,30,34,35,37",8000000,daily_cash
106000310,106/12/28,2017-12-28,"07,10,20,33,39",8000000,daily_cash
106000311,106/12/29,2017-12-29,"04,08,10,15,30",8000000,daily_cash
106000312,106/12/30,2017-12-30,"05,18,20,35,36",8000000,daily_cash
107000001,107/01/01,2018-01-01,"01,14,18,19,24",8000000,daily_cash
107000002,107/01/02,2018-01-02,"02,07,09,12,39",8000000,daily_cash
107000003,107/01/03,2018-01-03,"02,03,06,10,18",8000000,daily_cash
107000004,107/01/04,2018-01-04,"10,14,21,25,26",8000000,daily_cash
107000005,107/01/05,2018-01-05,"04,08,12,17,30",8000000,daily_cash
107000006,107/01/06,2018-01-06,"04,07,13,31,39",8000000,daily_cash
107000007,107/01/08,2018-01-08,"02,22,28,32,34",8000000,daily_cash
107000008,107/01/09,2018-01-09,"01,23,26,28,36",8000000,daily_cash
107000009,107/01/10,2018-01-10,"02,06,07,13,32",8000000,daily_cash
107000010,107/01/11,2018-01-11,"03,07,11,12,29",8000000,daily_cash
107000011,107/01/12,2018-01-12,"01,06,11,16,37",8000000,daily_cash
107000012,107/01/13,2018-01-13,"06,09,13,27,34",8000000,daily_cash
107000013,107/01/15,2018-01-15,"05,06,09,15,36",8000000,daily_cash
