draw,date,ad_date,numbers,price,lottery_type
103000084,103/04/08,2014-04-08,"16,19,20,34,35",8000000,daily_cash
103000085,103/04/09,2014-04-09,"07,09,12,16,31",8000000,daily_cash
103000086,103/04/10,2014-04-10,"07,17,20,24,31",8000000,daily_cash
103000087,103/04/11,2014-04-11,"08,11,13,16,21",8000000,daily_cash
103000088,103/04/12,2014-04-12,"14,18,25,34,38",8000000,daily_cash
103000089,103/04/14,2014-04-14,"05,06,15,24,37",8000000,daily_cash
103000090,103/04/15,2014-04-15,"06,09,14,15,36",8000000,daily_cash
103000091,103/04/16,2014-04-16,"01,03,12,29,33",8000000,daily_cash
103000092,103/04/17,2014-04-17,"04,14,18,28,29",8000000,daily_cash
103000093,103/04/18,2014-04-18,"19,27,29,37,38",8000000,daily_cash
103000094,103/04/19,2014-04-19,"04,13,35,36,37",8000000,daily_cash
103000095,103/04/21,2014-04-21,"19,20,27,29,33",8000000,daily_cash
103000096,103/04/22,2014-04-22,"04,09,25,30,39",8000000,daily_cash
103000097,103/04/23,2014-04-23,"07,14,16,26,33",8000000,daily_cash
103000098,103/04/24,2014-04-24,"04,07,16,17,35",8000000,daily_cash
103000099,103/04/25,2014-04-25,"05,07,33,38,39",8000000,daily_cash
103000100,103/04/26,2014-04-26,"08,15,23,24,33",8000000,daily_cash
103000101,103/04/28,2014-04-28,"03,17,19,22,38",8000000,daily_cash
103000102,103/04/29,2014-04-29,"03,08,21,25,33",8000000,daily_cash
103000103,103/04/30,2014-04-30,"05,06,23,26,29",8000000,daily_cash
103000104,103/05/01,2014-05-01,"10,17,22,34,39",8000000,daily_cash
103000105,103/05/02,2014-05-02,"01,08,11,14,38",8000000,daily_cash
103000106,103/05/03,2014-05-03,"03,13,14,23,37",8000000,daily_cash
103000107,103/05/05,2014-05-05,"04,08,13,21,37",8000000,daily_cash
103000108,103/05/06,2014-05-06,"05,06,23,24,39",8000000,daily_cash
103000109,103/05/07,2014-05-07,"12,19,21,36,39",8000000,daily_cash
103000110,103/05/08,2014-05-08,"01,09,27,28,36",8000000,daily_cash
103000111,103/05/09,2014-05-09,"05,25,34,36,39",8000000,daily_cash
103000112,103/05/10,2014-05-10,"01,08,17,36,37",8000000,daily_cash
103000113,103/05/12,2014-05-12,"06,09,11,14,24",8000000,daily_cash
103000114,103/05/13,2014-05-13,"05,06,12,16,31",8000000,daily_cash
103000115,103/05/14,2014-05-14,"03,14,18,28,38",8000000,daily_cash
103000116,103/05/15,2014-05-15,"06,13,21,34,35",8000000,daily_cash
103000117,103/05/16,2014-05-16,"07,09,28,31,33",8000000,daily_cash
103000118,103/05/17,2014-05-17,"03,13,17,25,37",8000000,daily_cash
103000119,103/05/19,2014-05-19,"07,08,18,19,27",8000000,daily_cash
103000120,103/05/20,2014-05-20,"12,19,30,32,35",8000000,daily_cash
103000121,103/05/21,2014-05-21,"05,07,11,20,29",8000000,daily_cash
103000122,103/05/22,2014-05-22,"10,13,29,31,32",8000000,daily_cash
103000123,103/05/23,2014-05-23,"05,16,18,20,21",8000000,daily_cash
103000124,103/05/24,2014-05-24,"02,16,27,37,38",8000000,daily_cash
103000125,103/05/26,2014-05-26,"02,05,12,19,38",8000000,daily_cash
103000126,103/05/27,2014-05-27,"13,27,31,35,39",8000000,daily_cash
103000127,103/05/28,2014-05-28,"02,08,12,20,27",8000000,daily_cash
103000128,103/05/29,2014-05-29,"07,22,23,25,28",8000000,daily_cash
103000129,103/05/30,2014-05-30,"01,07,15,18,31",8000000,daily_cash
103000130,103/05/31,2014-05-31,"09,12,16,26,31",8000000,daily_cash
103000131,103/06/02,2014-06-02,"11,13,26,34,36",8000000,daily_cash
103000132,103/06/03,2014-06-03,"01,03,26,38,39",8000000,daily_cash
103000133,103/06/04,2014-06-04,"04,10,13,29,32",8000000,daily_cash
103000134,103/06/05,2014-06-05,"12,18,24,28,38",8000000,daily_cash
103000135,103/06/06,2014-06-06,"05,07,18,30,34",8000000,daily_cash
103000136,103/06/07,2014-06-07,"04,18,26,27,30",8000000,daily_cash
103000137,103/06/09,2014-06-09,"01,07,16,17,32",8000000,daily_cash
103000138,103/06/10,2014-06-10,"14,15,16,29,31",8000000,daily_cash
103000139,103/06/11,2014-06-11,"01,11,13,17,31",8000000,daily_cash
103000140,103/06/12,2014-06-12,"04,12,14,34,35",8000000,daily_cash
103000141,103/06/13,2014-06-13,"12,19,35,37,38",8000000,daily_cash
103000142,103/06/14,2014-06-14,"11,20,23,37,38",8000000,daily_cash
103000143,103/06/16,2014-06-16,"02,14,16,36,39",8000000,daily_cash
103000144,103/06/17,2014-06-17,"05,12,13,22,36",8000000,daily_cash
103000145,103/06/18,2014-06-18,"04,12,17,23,25",8000000,daily_cash
103000146,103/06/19,2014-06-19,"01,19,30,34,39",8000000,daily_cash
103000147,103/06/20,2014-06-20,"04,10,16,24,25",8000000,daily_cash
103000148,103/06/21,2014-06-21,"02,04,18,20,29",8000000,daily_cash
103000149,103/06/23,2014-06-23,"05,12,19,34,36",8000000,daily_cash
103000150,103/06/24,2014-06-24,"02,15,27,28,38",8000000,daily_cash
103000151,103/06/25,2014-06-25,"04,13,14,30,31",8000000,daily_cash
103000152,103/06/26,2014-06-26,"02,10,11,12,30",8000000,daily_cash
103000153,103/06/27,2014-06-27,"25,32,35,36,39",8000000,daily_cash
103000154,103/06/28,2014-06-28,"02,06,10,20,30",8000000,daily_cash
103000155,103/06/30,2014-06-30,"06,13,30,34,39",8000000,daily_cash
103000156,103/07/01,2014-07-01,"13,23,28,29,31",8000000,daily_cash
103000157,103/07/02,2014-07-02,"08,10,26,34,37",8000000,daily_cash
103000158,103/07/03,2014-07-03,"02,16,19,23,28",8000000,daily_cash
103000159,103/07/04,2014-07-04,"04,09,22,32,35",8000000,daily_cash
103000160,103/07/05,2014-07-05,"09,13,17,18,33",8000000,daily_cash
103000161,103/07/07,2014-07-07,"02,13,15,29,35",8000000,daily_cash
103000162,103/07/08,2014-07-08,"09,11,13,19,30",8000000,daily_cash
103000163,103/07/09,2014-07-09,"01,15,16,17,35",8000000,daily_cash
103000164,103/07/10,2014-07-10,"03,13,20,27,32",8000000,daily_cash
103000165,103/07/11,2014-07-11,"03,23,25,34,37",8000000,daily_cash
103000166,103/07/12,2014-07-12,"05,21,32,33,35",8000000,daily_cash
103000167,103/07/14,2014-07-14,"05,10,15,17,26",8000000,daily_cash
103000168,103/07/15,2014-07-15,"14,19,25,27,28",8000000,daily_cash
103000169,103/07/16,2014-07-16,"14,18,21,26,32",8000000,daily_cash
103000170,103/07/17,2014-07-17,"03,09,11,14,34",8000000,daily_cash
103000171,103/07/18,2014-07-18,"05,09,25,34,36",8000000,daily_cash
103000172,103/07/19,2014-07-19,"03,15,18,27,35",8000000,daily_cash
103000173,103/07/21,2014-07-21,"01,07,13,19,37",8000000,daily_cash
103000174,103/07/22,2014-07-22,"06,27,28,35,38",8000000,daily_cash
103000175,103/07/23,2014-07-23,"02,07,11,12,34",8000000,daily_cash
103000176,103/07/24,2014-07-24,"03,10,13,25,39",8000000,daily_cash
103000177,103/07/25,2014-07-25,"02,10,17,20,29",8000000,daily_cash
103000178,103/07/26,2014-07-26,"02,05,12,17,33",8000000,daily_cash
103000179,103/07/28,2014-07-28,"07,11,25,26,28",8000000,daily_cash
103000180,103/07/29,2014-07-29,"02,04,26,32,35",8000000,daily_cash
103000181,103/07/30,2014-07-30,"12,23,28,37,39",8000000,daily_cash
103000182,103/07/31,2014-07-31,"01,06,20,24,33",8000000,daily_cash
103000183,103/08/01,2014-08-01,"05,09,16,18,31",8000000,daily_cash
103000184,103/08/02,2014-08-02,"05,15,24,26,29",8000000,daily_cash
103000185,103/08/04,2014-08-04,"10,12,20,23,27",8000000,daily_cash
103000186,103/08/05,2014-08-05,"01,11,16,32,39",8000000,daily_cash
103000187,103/08/06,2014-08-06,"06,08,11,15,38",8000000,daily_cash
103000188,103/08/07,2014-08-07,"10,17,18,37,39",8000000,daily_cash
103000189,103/08/08,2014-08-08,"08,18,27,31,34",8000000,daily_cash
103000190,103/08/09,2014-08-09,"13,20,25,28,30",8000000,daily_cash
103000191,103/08/11,2014-08-11,"05,18,20,28,38",8000000,daily_cash
103000192,103/08/12,2014-08-12,"03,14,23,24,37",8000000,daily_cash
103000193,103/08/13,2014-08-13,"12,16,23,30,32",8000000,daily_cash
103000194,103/08/14,2014-08-14,"19,21,29,32,34",8000000,daily_cash
103000195,103/08/15,2014-08-15,"03,07,12,20,39",8000000,daily_cash
103000196,103/08/16,2014-08-16,"06,10,16,22,26",8000000,daily_cash
103000197,103/08/18,2014-08-18,"09,18,19,20,35",8000000,daily_cash
103000198,103/08/19,2014-08-19,"12,15,32,34,38",8000000,daily_cash
103000199,103/08/20,2014-08-20,"09,15,26,37,39",8000000,daily_cash
103000200,103/08/21,2014-08-21,"10,23,29,34,36",8000000,daily_cash
103000201,103/08/22,2014-08-22,"03,04,18,37,38",8000000,daily_cash
103000202,103/08/23,2014-08-23,"08,09,11,17,30",8000000,daily_cash
103000203,103/08/25,2014-08-25,"03,10,13,23,34",8000000,daily_cash
